celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_min_fan_percentage,week_1_max_fan_percentage,week_1_delta,week_1_point_estimate,week_2_min_fan_percentage,week_2_max_fan_percentage,week_2_delta,week_2_point_estimate,week_3_min_fan_percentage,week_3_max_fan_percentage,week_3_delta,week_3_point_estimate,week_4_min_fan_percentage,week_4_max_fan_percentage,week_4_delta,week_4_point_estimate,week_5_min_fan_percentage,week_5_max_fan_percentage,week_5_delta,week_5_point_estimate,week_6_min_fan_percentage,week_6_max_fan_percentage,week_6_delta,week_6_point_estimate,week_7_min_fan_percentage,week_7_max_fan_percentage,week_7_delta,week_7_point_estimate,week_8_min_fan_percentage,week_8_max_fan_percentage,week_8_delta,week_8_point_estimate,week_9_min_fan_percentage,week_9_max_fan_percentage,week_9_delta,week_9_point_estimate,week_10_min_fan_percentage,week_10_max_fan_percentage,week_10_delta,week_10_point_estimate,week_11_min_fan_percentage,week_11_max_fan_percentage,week_11_delta,week_11_point_estimate
Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,9,16,0,0.083364834,0.083364834,0.062516837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,9,12,0,0.116463257,0.116463257,0.062502226,0,0.263592942,0.263592942,0.071428557,0,0.11624407,0.11624407,0.076942667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,9,9,0,0.124487491,0.124487491,0.062510208,0,0.122427868,0.122427868,0.071428235,0,0.137089903,0.137089903,0.076902441,0,1,1,0.090908832,0,0.1522851,0.1522851,0.100260972,0,0.147080509,0.147080509,0.111111585,,,,,,,,,,,,,,,,,,,,
Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,9,6,0,0.171976844,0.171976844,0.062470138,0,0.263592942,0.263592942,0.071428557,0,0.125294109,0.125294109,0.077000586,0,0.15523098,0.15523098,0.090908562,0,0.338832975,0.338832975,0.099918787,0,0.255751558,0.255751558,0.111158703,0,0.163181449,0.163181449,0.142597466,,,,,,,,,,,,,,,,
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,11,0,0.116463257,0.116463257,0.062502221,0,0.122427868,0.122427868,0.071428235,0,0.11624407,0.11624407,0.076942667,0,0.137247466,0.137247466,0.090910084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,10,0,0.151622547,0.151622547,0.062484849,0,0.263592942,0.263592942,0.071428612,0,0.501932984,0.501932984,0.076995313,0,0.260318079,0.260318079,0.090908702,0,0.136856415,0.136856415,0.099850133,,,,,,,,,,,,,,,,,,,,,,,,
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,8,0,0.151622547,0.151622547,0.062484849,0,0.122427868,0.122427868,0.071428235,0,0.17827624,0.17827624,0.076953508,0,0.127232727,0.127232727,0.090909986,0,0.136856415,0.136856415,0.099850133,9.62E-06,0.168101626,0.168092011,0.1111212,,,,,,,,,,,,,,,,,,,,
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,7,9.75E-06,0.089329219,0.089319466,0.062526591,0,0.153531419,0.153531419,0.071428511,0,0.099537973,0.099537973,0.07691327,0,0.127232727,0.127232727,0.090909986,0,0.11319514,0.11319514,0.099838992,0,0.137567314,0.137567314,0.111148386,0,0.178992346,0.178992346,0.142867808,,,,,,,,,,,,,,,,
Joanna Krupa,Derek Hough,Model,,Poland,30,9,4,0.041318574,0.999980493,0.958661919,0.062560718,0,0.153531419,0.153531419,0.071428493,0,0.342367261,0.342367261,0.076838203,0,0.338836309,0.338836309,0.090908818,0,0.260315579,0.260315579,0.100101529,0.083800589,0.999981154,0.916180565,0.111105293,0.129043415,1,0.870956585,0.142931,0,0.513353779,0.513353779,0.199948269,0,0.509369563,0.509369563,0.249989312,,,,,,,,
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,14,0,0.101559391,0.101559391,0.062526871,0,0.087888242,0.087888242,0.071429358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,13,0,0.101559391,0.101559391,0.062526871,0,0.087888242,0.087888242,0.071429727,0,0.103966835,0.103966835,0.076822027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,15,0,0.083364834,0.083364834,0.062516837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,5,0,0.50244831,0.50244831,0.062491367,0,1,1,0.071428528,0,0.262581899,0.262581899,0.076906826,0,0.150281167,0.150281167,0.090909404,0,0.260315579,0.260315579,0.100101529,0,0.33716668,0.33716668,0.110998709,0,0.502844003,0.502844003,0.142892818,0,0.261435382,0.261435382,0.199834814,,,,,,,,,,,,
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2,9.75E-06,0.336604167,0.336594414,0.062453447,0,1,1,0.071428538,0.049240376,1,0.950759624,0.076922098,0,1,1,0.09090883,0,0.504127231,0.504127231,0.099852114,9.23E-06,0.505759251,0.50575002,0.111022402,0,0.209102809,0.209102809,0.142909499,0.17482716,1,0.82517284,0.200333169,0.228140003,1,0.771859997,0.250092473,0,0.504032299,0.504032299,0.333487615,,,,
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1,0,0.203918902,0.203918902,0.062482277,0,0.337861814,0.337861814,0.071428253,0,0.262581899,0.262581899,0.076906881,0,0.260318079,0.260318079,0.090908703,0.080197289,1,0.919802711,0.100124282,0,0.207670488,0.207670488,0.111128798,0,0.337122004,0.337122004,0.142900706,0,0.261435382,0.261435382,0.199834814,0,0.26873483,0.26873483,0.249938845,0.315398976,1,0.684601024,0.333423845,,,,
Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3,0,0.25244581,0.25244581,0.062443693,0,0.122427868,0.122427868,0.071428161,0,0.17827624,0.17827624,0.076953512,0,0.176980579,0.176980579,0.090908091,0,0.260315579,0.260315579,0.100101529,0,0.192281563,0.192281563,0.111204924,0,0.337122004,0.337122004,0.142900703,0,0.344773715,0.344773715,0.200048933,0,0.345824314,0.345824314,0.24997937,0,0.36113745,0.36113745,0.333088539,,,,
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,9,0,0.1215021,0.1215021,0.090938983,0,0.139177045,0.139177045,0.090936019,0,0.153398804,0.153398804,0.100059868,0,0.150234542,0.150234542,0.111149175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,0,0.18259563,0.18259563,0.090894779,0,0.18027803,0.18027803,0.0910479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,0,0.18259563,0.18259563,0.090894779,0,0.211798182,0.211798182,0.09092152,0,0.261073744,0.261073744,0.09997618,0,0.163620366,0.163620366,0.110989918,0,0.197470183,0.197470183,0.125007434,0,0.188970769,0.188970769,0.142845174,0,0.175760397,0.175760397,0.166659812,0,0.230023526,0.230023526,0.199986418,,,,,,,,,,,,
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,0,0.114797081,0.114797081,0.090978461,0,0.127228182,0.127228182,0.090973562,0,0.135933591,0.135933591,0.100021562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,0,0.18259563,0.18259563,0.090894782,0,0.135825253,0.135825253,0.090758312,0,0.153398804,0.153398804,0.100059974,0,0.261440526,0.261440526,0.110954841,0,0.197470183,0.197470183,0.125007435,0,0.346082706,0.346082706,0.142790228,0,0.337613912,0.337613912,0.166652926,0,0.279634269,0.279634269,0.199966536,0,0.269899004,0.269899004,0.250003682,,,,,,,,
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,0,0.504779689,0.504779689,0.090901475,0,0.509085909,0.509085909,0.09120785,0.071944182,1,0.928055818,0.099973111,0.082100497,1,0.917899503,0.111152266,0,0.505775347,0.505775347,0.124986257,0,0.22198926,0.22198926,0.142670459,0,1,1,0.166673388,0,0.511852708,0.511852708,0.200004853,0,1,1,0.249999439,0,0.341388298,0.341388298,0.333312783,,,,
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,6,0,0.342892711,0.342892711,0.090868538,0,0.260212273,0.260212273,0.090960072,0,0.261073744,0.261073744,0.099976206,0,0.340511114,0.340511114,0.111130447,0,0.219633179,0.219633179,0.125135553,0,0.263143417,0.263143417,0.142778182,0,0.25561451,0.25561451,0.166670251,,,,,,,,,,,,,,,,
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,0.062235502,1,0.937764498,0.09099622,0.054590909,1,0.945409091,0.090788306,0,0.507384163,0.507384163,0.099965176,0,0.502690418,0.502690418,0.111229152,0.082402442,1,0.917597558,0.125314144,0.113495383,1,0.886504617,0.143107976,0,1,1,0.166673388,0.166812419,1,0.833187581,0.200037367,0,1,1,0.249999439,0.318557363,1,0.681442637,0.333418448,,,,
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,0,0.342892711,0.342892711,0.090868538,0,0.342414242,0.342414242,0.090749326,0,0.507384163,0.507384163,0.099965176,0,0.219926092,0.219926092,0.111046609,0,0.268771127,0.268771127,0.124894851,0,0.504779466,0.504779466,0.142819656,0,0.25561451,0.25561451,0.166670234,0,0.511852708,0.511852708,0.200004825,0,0.342176224,0.342176224,0.249997439,0,0.510748488,0.510748488,0.33326877,,,,
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,0,0.130227645,0.130227645,0.090911963,0,0.126324636,0.126324636,0.090609225,0,0.141195107,0.141195107,0.100026566,0,0.135928853,0.135928853,0.111245137,0,0.163267298,0.163267298,0.124885585,,,,,,,,,,,,,,,,,,,,,,,,
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,0,0.209555378,0.209555378,0.090851481,0,0.18027803,0.18027803,0.091047908,0,0.261073744,0.261073744,0.099976181,0,0.185509591,0.185509591,0.111102456,0,0.352591156,0.352591156,0.124768742,0,0.166067139,0.166067139,0.142988324,,,,,,,,,,,,,,,,,,,,
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,0,0.120673846,0.120673846,0.083297385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,0,0.156682329,0.156682329,0.083308738,0,0.136860328,0.136860328,0.090945834,0,0.158355326,0.158355326,0.100062312,0,0.191781331,0.191781331,0.11118815,0,0.183130183,0.183130183,0.125047239,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,0,0.502197643,0.502197643,0.083277748,0,0.33784822,0.33784822,0.090887929,0,0.205419864,0.205419864,0.100031148,0,0.270934721,0.270934721,0.110960739,0,0.161669733,0.161669733,0.12504754,0,0.259646868,0.259646868,0.142821163,0,0.208135477,0.208135477,0.166592495,0,0.33584239,0.33584239,0.199855565,0,0.504380965,0.504380965,0.249975037,0,0.516060099,0.516060099,0.333440342,,,,
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,0.060973961,1,0.939026039,0.083371729,0.073251806,1,0.926748194,0.090903445,0,0.504519887,0.504519887,0.099938327,0.065837641,1,0.934162359,0.111289354,0,0.505489505,0.505489505,0.124974229,0,0.211573856,0.211573856,0.142832695,0,1,1,0.166724144,0,1,1,0.199995501,0.236857105,1,0.763142895,0.249991351,0.305230013,1,0.694769987,0.333118792,,,,
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,6,0,0.254395286,0.254395286,0.083459031,0,0.206320842,0.206320842,0.090912101,0,0.504519887,0.504519887,0.099938327,0,0.218974413,0.218974413,0.111209135,0,0.340649341,0.340649341,0.125018075,9.52E-06,0.346205341,0.346195825,0.142901403,0,0.255383183,0.255383183,0.166755868,,,,,,,,,,,,,,,,
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,0,0.214080916,0.214080916,0.083277378,0,0.206320842,0.206320842,0.090912099,0,0.205419864,0.205419864,0.10003115,0,0.166769681,0.166769681,0.111124447,0,0.340649341,0.340649341,0.125018083,0,0.179404216,0.179404216,0.142715442,0,0.33812283,0.33812283,0.166715214,0,0.274515802,0.274515802,0.200210607,,,,,,,,,,,,
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,0,0.120673846,0.120673846,0.083296871,0,0.125666858,0.125666858,0.090914837,0,0.118524036,0.118524036,0.099992119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,0,0.129686765,0.129686765,0.083550905,0,0.127490448,0.127490448,0.090883679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,0,0.502197643,0.502197643,0.083277577,0,0.206320842,0.206320842,0.090912099,0,0.504519887,0.504519887,0.09993833,0,0.511168184,0.511168184,0.111038788,0.101677102,1,0.898322898,0.124839324,0.111831137,0.999990483,0.888159346,0.143047344,0,1,1,0.166724145,0,1,1,0.199995501,0,0.339171287,0.339171287,0.249957738,,,,,,,,
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,0,0.120673846,0.120673846,0.083297386,0,0.125666858,0.125666858,0.090914837,0,0.158355326,0.158355326,0.10006231,0,0.143969932,0.143969932,0.11089528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,0,0.214080916,0.214080916,0.08327691,0,0.502257443,0.502257443,0.090925219,0.082374941,1,0.917625059,0.100023915,0,0.344496518,0.344496518,0.111117293,0,0.208777209,0.208777209,0.125000327,0,0.509652352,0.509652352,0.142889704,,,,,,,,,,,,,,,,,,,,
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,0,0.156682329,0.156682329,0.083308342,0,0.33784822,0.33784822,0.090887923,0,0.127178487,0.127178487,0.09998206,0,0.150802989,0.150802989,0.111176813,0,0.151067651,0.151067651,0.125055184,0,0.180329797,0.180329797,0.14279225,0,0.1774347,0.1774347,0.166488135,0,0.222623509,0.222623509,0.199942825,0,0.26752886,0.26752886,0.250075875,0,0.357419777,0.357419777,0.333440866,,,,
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,0.065909789,1,0.934090211,0.090836647,0,0.256936944,0.256936944,0.090900218,0,0.211202953,0.211202953,0.100014662,0,0.502422184,0.502422184,0.111120453,0,0.182113918,0.182113918,0.125007211,0,0.179606296,0.179606296,0.142633338,0,1,1,0.166612681,0,0.223056923,0.223056923,0.20026412,0,0.295729681,0.295729681,0.249915385,,,,,,,,
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,0,0.341374863,0.341374863,0.090904102,0,0.156720317,0.156720317,0.090900068,0,0.339557196,0.339557196,0.099983242,0.096030852,1,0.903969148,0.111151725,0,0.50257232,0.50257232,0.1250386,0,1,1,0.142768426,0,0.33686336,0.33686336,0.166657524,0.188481538,1,0.811518462,0.199933149,0.189376702,1,0.810623298,0.250198437,0,1,1,0.333345521,,,,
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,0,0.502410459,0.502410459,0.09094973,0,0.209245259,0.209245259,0.090918675,0,0.211202953,0.211202953,0.100014662,0,0.151858114,0.151858114,0.111064577,0,0.213392062,0.213392062,0.124920355,0,0.256931944,0.256931944,0.143041177,0,0.209000568,0.209000568,0.166653269,0,0.337169487,0.337169487,0.199938148,0,0.368784326,0.368784326,0.249891437,0,0.346049601,0.346049601,0.333308957,,,,
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1,0,0.341374863,0.341374863,0.090904093,0,1,1,0.090910425,0,1,1,0.099962674,0,0.502422184,0.502422184,0.111120453,0.110842242,1,0.889157758,0.124942176,0,0.33703037,0.33703037,0.142960339,0,1,1,0.166612681,0,0.501918077,0.501918077,0.199910195,0,0.527654574,0.527654574,0.249994742,0,1,1,0.333345521,,,,
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,0,0.125580531,0.125580531,0.090926551,0,0.125999918,0.125999918,0.090908886,0,0.136081881,0.136081881,0.10002222,0,0.137114672,0.137114672,0.111103802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,0,0.212546386,0.212546386,0.090967665,0,1,1,0.090910425,0,0.211202953,0.211202953,0.100014556,0,0.258485146,0.258485146,0.111080349,0,0.50257232,0.50257232,0.12503904,0,0.163463492,0.163463492,0.142933585,,,,,,,,,,,,,,,,,,,,
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,8,0,0.155951063,0.155951063,0.090967292,0,0.156720317,0.156720317,0.090900086,0,1,1,0.099962853,0,0.258485146,0.258485146,0.111080352,0,0.182113918,0.182113918,0.125006845,,,,,,,,,,,,,,,,,,,,,,,,
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,0,0.118979886,0.118979886,0.090843381,0,0.125999918,0.125999918,0.090908886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,0,0.212546386,0.212546386,0.090967649,0,1,1,0.090910427,0,0.136081881,0.136081881,0.10002222,0,0.258485146,0.258485146,0.111080349,0,0.50257232,0.50257232,0.125038929,0,1,1,0.142768442,0,0.209000568,0.209000568,0.166653269,0,0.255754231,0.255754231,0.199954388,,,,,,,,,,,,
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,0,0.126056957,0.126056957,0.090765581,0,0.125999918,0.125999918,0.090908893,0,0.129884542,0.129884542,0.100019747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,0,0.155951063,0.155951063,0.090967309,0,0.178220741,0.178220741,0.09092301,0,0.339557196,0.339557196,0.099983164,0,0.134815804,0.134815804,0.11119794,0,0.182113918,0.182113918,0.125006845,0,0.209982,0.209982,0.142894693,0,0.25860819,0.25860819,0.166810576,,,,,,,,,,,,,,,,
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,11,0,0.10679411,0.10679411,0.083341046,0,0.254474305,0.254474305,0.090839117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,0,0.177396022,0.177396022,0.083333594,0,0.124044659,0.124044659,0.090868099,0,0.257373966,0.257373966,0.10000005,0,0.210512316,0.210512316,0.11102901,0,0.507973723,0.507973723,0.124999765,0,0.269565813,0.269565813,0.142817789,0,0.209536314,0.209536314,0.16664133,,,,,,,,,,,,,,,,
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,0,0.255747869,0.255747869,0.083337477,0.078702805,1,0.921297195,0.091122622,0.086097949,1,0.913902051,0.099997821,0.083494019,1,0.916505981,0.11101932,0,0.257968723,0.257968723,0.12500002,0,1,1,0.142878064,0.152470961,1,0.847529039,0.166820257,0,0.515439015,0.515439015,0.200132472,0.217314229,1,0.782685771,0.249893837,0,0.335295335,0.335295335,0.33311545,,,,
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,0,1,1,0.083337956,0,0.502237152,0.502237152,0.090996343,0,0.502104705,0.502104705,0.099997394,0,0.507172033,0.507172033,0.11119475,0.10108633,1,0.89891367,0.12499822,0,1,1,0.142878064,0,0.258517423,0.258517423,0.166622229,0.168353768,1,0.831646232,0.199810562,0,0.361452003,0.361452003,0.250275779,0,0.500981395,0.500981395,0.333352534,,,,
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,0,0.102109704,0.102109704,0.083357845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,0,0.336398863,0.336398863,0.083335248,0,0.135075936,0.135075936,0.090845677,0,0.257373966,0.257373966,0.10000005,0,0.344487608,0.344487608,0.111036074,0,0.257968723,0.257968723,0.12500002,0,0.193751767,0.193751767,0.142868087,0,0.337873959,0.337873959,0.166752562,0,0.515439015,0.515439015,0.200132483,0,0.293234761,0.293234761,0.250148326,,,,,,,,
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,0,1,1,0.083337957,0,0.254474305,0.254474305,0.090839117,0,0.502104705,0.502104705,0.099997394,0,0.183393078,0.183393078,0.111112451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,0,0.208276931,0.208276931,0.083332518,0,0.502237152,0.502237152,0.090996343,0,0.257373966,0.257373966,0.10000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,0,0.155995128,0.155995128,0.083345842,0,0.124044659,0.124044659,0.090868099,0,0.132370216,0.132370216,0.099998988,0,0.12650622,0.12650622,0.111347415,0,0.14890867,0.14890867,0.125000294,,,,,,,,,,,,,,,,,,,,,,,,
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,0,0.155995128,0.155995128,0.083345841,0,0.105558634,0.105558634,0.09094634,0,0.124022633,0.124022633,0.100007413,0,0.183393078,0.183393078,0.111112451,0,0.15955304,0.15955304,0.125000391,0,0.171227883,0.171227883,0.14288369,,,,,,,,,,,,,,,,,,,,
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,0,0.125416918,0.125416918,0.083297338,0,0.254474305,0.254474305,0.090839121,0,0.125154698,0.125154698,0.100000808,0,0.183393078,0.183393078,0.111112451,0,0.180836064,0.180836064,0.125001527,0,0.353406988,0.353406988,0.142855163,0,0.183137685,0.183137685,0.16642666,0,0.23009983,0.23009983,0.200009757,,,,,,,,,,,,
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,0,0.125416918,0.125416918,0.08329734,0,0.254474305,0.254474305,0.090839122,0,0.257373966,0.257373966,0.100000032,0,0.344487608,0.344487608,0.111036077,0,0.507973723,0.507973723,0.124999763,0,0.220463928,0.220463928,0.142819144,0,0.503407969,0.503407969,0.166736962,0,0.260607761,0.260607761,0.199914727,0,0.504214849,0.504214849,0.249682058,0.331370937,1,0.668629063,0.333532016,,,,
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3,0,0.338264938,0.338264938,0.083257723,0,0.335804981,0.335804981,0.083557275,0,0.501780714,0.501780714,0.090889506,0,0.178089921,0.178089921,0.099962274,0,1,1,0.111119007,0,0.338487714,0.338487714,0.124990935,0,0.337864659,0.337864659,0.142816375,0.159041407,1,0.840958593,0.166763428,0,0.502168913,0.502168913,0.249884599,0,0.501861048,0.501861048,0.333217588,,,,
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,0,0.256468981,0.256468981,0.083329124,0,0.136122416,0.136122416,0.083221273,0,0.150997551,0.150997551,0.090908514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,0,0.256468981,0.256468981,0.083328948,0,0.173463699,0.173463699,0.083157239,0,0.150997551,0.150997551,0.090908514,0,0.122532699,0.122532699,0.10012028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,0,1,1,0.083335436,0,0.151861004,0.151861004,0.083142852,0,0.207122857,0.207122857,0.09088437,0,0.178089921,0.178089921,0.099962274,0,0.18004119,0.18004119,0.11110268,0,0.503866367,0.503866367,0.125012153,0,0.173004523,0.173004523,0.142604752,,,,,,,,,,,,,,,,
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,0,0.256468981,0.256468981,0.083328913,0,1,1,0.08345928,0,0.207122857,0.207122857,0.090884366,0,0.502140923,0.502140923,0.099935665,0,0.207130857,0.207130857,0.111092847,0,0.163868562,0.163868562,0.124990418,0,0.204890632,0.204890632,0.142968874,0,0.501524052,0.501524052,0.166689323,,,,,,,,,,,,
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,0,0.111090111,0.111090111,0.083343484,0,0.112234658,0.112234658,0.083146722,0,0.150997551,0.150997551,0.09090852,0,0.178089921,0.178089921,0.099962274,0,0.145617321,0.145617321,0.111119448,9.61E-06,0.220134783,0.220125171,0.1249932,0,0.157623176,0.157623176,0.142988144,0,0.177350031,0.177350031,0.16644041,,,,,,,,,,,,
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,12,0,0.111090111,0.111090111,0.083343207,0,0.103424641,0.103424641,0.083380426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,0,0.134707222,0.134707222,0.083363406,0,0.204448967,0.204448967,0.083342061,0,0.255342143,0.255342143,0.090898603,0.084150172,1,0.915849828,0.099941281,0,0.339279048,0.339279048,0.111099724,0,0.259672546,0.259672546,0.124962031,0,0.337864659,0.337864659,0.142816381,0,0.336381437,0.336381437,0.166723223,0,0.337671159,0.337671159,0.250080881,0,0.501861048,0.501861048,0.333217588,,,,
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,0,0.111090111,0.111090111,0.083343207,0,0.136122416,0.136122416,0.083221269,0,0.150997551,0.150997551,0.090908514,0,0.20942606,0.20942606,0.099958401,0,0.137365238,0.137365238,0.111125859,,,,,,,,,,,,,,,,,,,,,,,,
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,0,0.256468981,0.256468981,0.083328149,0,0.105401936,0.105401936,0.083355044,0,0.150997551,0.150997551,0.090908514,0,0.11413309,0.11413309,0.100086279,0,0.16196551,0.16196551,0.111121699,0,0.156941492,0.156941492,0.125063968,,,,,,,,,,,,,,,,,,,,
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2,0,1,1,0.083334862,0,1,1,0.08345928,0.078282208,1,0.921717792,0.090860618,0,0.25750073,0.25750073,0.100135605,0,1,1,0.111119006,0.098872187,0.999990388,0.901118201,0.125017755,0,0.504082193,0.504082193,0.142847746,0,0.336381437,0.336381437,0.166723221,0,0.256506739,0.256506739,0.25030344,0.330851937,1,0.669148063,0.333564824,,,,
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,0,0.134707222,0.134707222,0.083363541,0,0.335804981,0.335804981,0.083557279,0,0.336894762,0.336894762,0.09103996,0,0.502140923,0.502140923,0.099935666,0,0.339279048,0.339279048,0.111099729,0,0.183437642,0.183437642,0.124969542,0.13042522,1,0.86957478,0.142957727,0,0.206713829,0.206713829,0.166660396,0.243493261,1,0.756506739,0.24973108,,,,,,,,
