celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week1排名,week2排名,week3排名,week4排名,week5排名,week6排名,week7排名,week8排名,week9排名,week10排名,week11排名
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,13,12.0,,,,,,,,,,
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,11,5.0,10.0,11.0,,,,,,,,
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,5,8.0,7.0,3.0,6.0,7.0,8.0,6.0,6.0,6.0,5.0,
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,10,13.0,9.0,10.0,8.0,,,,,,,
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,7,10.0,12.0,9.0,9.0,9.0,7.0,8.0,7.0,,,
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,12,9.0,11.0,,,,,,,,,
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,4,3.0,3.0,1.0,5.0,5.0,2.0,1.0,3.0,3.0,2.0,4.0
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2,2.0,5.0,4.0,3.0,1.0,3.0,5.0,4.0,4.0,4.0,2.0
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,9,9.0,9.0,8.0,10.0,7.0,,,,,,
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,7,10.0,4.0,5.0,1.0,4.0,5.0,5.0,,,,
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2,2.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,4,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,,
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,10,7.0,10.0,9.0,8.0,,,,,,,
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,6,5.0,7.0,6.0,6.0,9.0,7.0,7.0,6.0,,,
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,11,11.0,11.0,11.0,,,,,,,,
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3,4.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,12,12.0,6.0,,,,,,,,,
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,8,8.0,8.0,10.0,7.0,8.0,8.0,,,,,
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,5,6.0,12.0,7.0,9.0,6.0,6.0,6.0,5.0,,,
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,10,10.0,12.0,9.0,10.0,,,,,,,
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,6,6.0,6.0,2.0,8.0,2.0,8.0,6.0,5.0,2.0,,
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,4,3.0,4.0,6.0,5.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,12,11.0,10.0,,,,,,,,,
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3,4.0,2.0,3.0,6.0,6.0,6.0,3.0,6.0,5.0,3.0,4.0
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,13,12.0,13.0,,,,,,,,,
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,7,7.0,8.0,8.0,7.0,5.0,5.0,5.0,7.0,,,
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,5,5.0,3.0,5.0,3.0,8.0,4.0,8.0,4.0,6.0,,
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2,1.0,5.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,8,8.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,11,13.0,11.0,,,,,,,,,
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,9,9.0,9.0,10.0,9.0,9.0,9.0,,,,,
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,11,10.0,11.0,11.0,,,,,,,,
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,8,9.0,10.0,6.0,6.0,7.0,7.0,7.0,,,,
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,6,7.0,5.0,5.0,8.0,3.0,6.0,6.0,4.0,,,
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,9,11.0,8.0,10.0,10.0,9.0,9.0,,,,,
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,7,6.0,7.0,9.0,6.0,6.0,7.0,7.0,,,,
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,5,5.0,6.0,7.0,4.0,8.0,4.0,5.0,5.0,5.0,,
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2,4.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,12,12.0,12.0,,,,,,,,,
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1,2.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3,1.0,3.0,4.0,1.0,2.0,5.0,2.0,1.0,3.0,3.0,
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,4,3.0,2.0,3.0,5.0,5.0,2.0,4.0,6.0,4.0,,
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,10,8.0,9.0,8.0,9.0,,,,,,,
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,13,12.0,12.0,,,,,,,,,
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,8,11.0,8.0,6.0,5.0,8.0,7.0,7.0,,,,
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,6,4.0,7.0,5.0,10.0,3.0,5.0,8.0,7.0,6.0,,
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,7,8.0,10.0,8.0,8.0,7.0,8.0,6.0,5.0,,,
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3,5.0,5.0,1.0,4.0,6.0,3.0,1.0,3.0,4.0,5.0,3.0
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1,2.0,1.0,2.0,1.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,9,10.0,11.0,9.0,7.0,9.0,9.0,,,,,
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,12,13.0,13.0,12.0,,,,,,,,
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2,1.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,11,7.0,6.0,10.0,11.0,,,,,,,
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,10,9.0,9.0,11.0,9.0,,,,,,,
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,4,3.0,3.0,7.0,6.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,5,6.0,2.0,3.0,3.0,2.0,6.0,4.0,6.0,3.0,2.0,
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,11,10.0,10.0,11.0,,,,,,,,
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,10,11.0,11.0,10.0,10.0,,,,,,,
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,8,6.0,6.0,5.0,4.0,6.0,3.0,,,,,
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,7,5.0,7.0,4.0,7.0,3.0,7.0,5.0,,,,
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,5,8.0,5.0,8.0,6.0,8.0,6.0,7.0,5.0,,,
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,4,1.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,,
David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,24,2,3.0,3.0,2.0,3.0,7.0,5.0,4.0,4.0,4.0,3.0,
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1,2.0,1.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,12,12.0,12.0,,,,,,,,,
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,9,9.0,8.0,9.0,9.0,9.0,,,,,,
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3,4.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,6,7.0,9.0,7.0,8.0,5.0,8.0,6.0,,,,
Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,25,10,10.0,7.0,11.0,9.0,9.0,,,,,,
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3,4.0,1.0,6.0,5.0,2.0,6.0,1.0,3.0,4.0,3.0,
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,11,8.0,12.0,10.0,10.0,,,,,,,
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,8,5.0,10.0,9.0,8.0,6.0,5.0,8.0,,,,
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,6,12.0,8.0,7.0,6.0,7.0,3.0,7.0,4.0,,,
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,5,6.0,5.0,5.0,2.0,4.0,8.0,3.0,6.0,3.0,,
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,13,13.0,13.0,,,,,,,,,
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2,1.0,3.0,1.0,3.0,3.0,1.0,5.0,2.0,2.0,1.0,
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,12,11.0,9.0,,,,,,,,,
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,9,7.0,11.0,8.0,11.0,10.0,9.0,,,,,
Drew Scott,Emma Slater,TV Personality,,Canada,39,25,4,9.0,6.0,3.0,4.0,5.0,7.0,2.0,5.0,5.0,4.0,
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,25,7,3.0,4.0,4.0,7.0,8.0,4.0,6.0,,,,
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,10,8.0,,,,,,,,,,
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,9,9.0,,,,,,,,,,
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,8,10.0,8.0,,,,,,,,,
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,7,7.0,5.0,,,,,,,,,
Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,26,6,5.0,7.0,6.0,,,,,,,,
Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,26,5,6.0,6.0,5.0,,,,,,,,
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,4,4.0,4.0,4.0,,,,,,,,
Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,26,3,3.0,2.0,3.0,3.0,,,,,,,
Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,26,2,1.0,3.0,2.0,2.0,,,,,,,
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,26,1,2.0,1.0,1.0,1.0,,,,,,,
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,27,5,5.0,2.0,1.0,6.0,2.0,3.0,5.0,3.0,,,
Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,27,3,8.0,4.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,,
Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,27,11,9.0,10.0,9.0,,,,,,,,
John Schneider,Emma Slater,Actor/Actress,New York,United States,58,27,8,10.0,9.0,10.0,9.0,7.0,9.0,6.0,,,,
Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,27,2,6.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,,
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,12,11.0,12.0,,,,,,,,,
Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,27,9,7.0,7.0,8.0,3.0,6.0,7.0,,,,,
DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,27,7,2.0,6.0,7.0,8.0,4.0,5.0,7.0,,,,
Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,27,13,12.0,,,,,,,,,,
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,27,1,3.0,8.0,6.0,7.0,8.0,6.0,4.0,5.0,4.0,,
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,10,4.0,5.0,5.0,5.0,,,,,,,
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4,1.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,,
Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,27,6,13.0,11.0,11.0,10.0,9.0,8.0,8.0,6.0,,,
