celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_fail,week_2_fail,week_3_fail,week_4_fail,week_5_fail,week_6_fail,week_7_fail,week_8_fail,week_9_fail,week_10_fail,week_11_fail
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,12,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,5,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,8,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct,correct,correct
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,9,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,8,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,9,correct,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct,correct
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,6,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,13,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,5,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,10,ERROR,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,7,correct,ERROR,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,12,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,9,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct,correct,correct
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,7,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,10,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,6,correct,correct,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,12,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,5,correct,ERROR,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,6,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,12,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,13,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,5,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,ERROR
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,8,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,11,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,9,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct,correct,correct
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,6,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,9,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct,correct,correct
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,7,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,5,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,12,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,4,correct,correct,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,10,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,13,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,8,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,6,correct,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,7,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,ERROR
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,9,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,12,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,10,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,5,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,10,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,8,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,7,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,5,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
David Ross,Lindsay Arnold,Athlete,Georgia,United States,40,24,2,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,12,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,9,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,6,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct
Sasha Pieterse,Gleb Savchenko,Actor/Actress,,South Africa,21,25,10,correct,correct,ERROR,correct,ERROR,correct,correct,correct,correct,correct,correct
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,11,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,8,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,6,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,5,correct,correct,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,13,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,12,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,9,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct,correct,correct
Drew Scott,Emma Slater,TV Personality,,Canada,39,25,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,,Philippines,36,25,7,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,10,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,9,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,8,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,7,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Jennie Finch Daigle,Keo Motsepe,Athlete,California,United States,37,26,6,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Chris Mazdzer,Witney Carson,Athlete,Massachusetts,United States,29,26,5,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,4,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,26,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,26,2,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,26,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,27,5,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct
Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,27,3,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,27,11,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
John Schneider,Emma Slater,Actor/Actress,New York,United States,58,27,8,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct
Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,27,2,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,12,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,27,9,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,27,7,correct,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,27,13,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,27,1,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,10,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,27,6,ERROR,correct,ERROR,ERROR,ERROR,correct,ERROR,correct,correct,correct,correct
