celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_judge_percentages,week_1_judge_rank,week_2_judge_percentages,week_2_judge_rank,week_3_judge_percentages,week_3_judge_rank,week_4_judge_percentages,week_4_judge_rank,week_5_judge_percentages,week_5_judge_rank,week_6_judge_percentages,week_6_judge_rank,week_7_judge_percentages,week_7_judge_rank,week_8_judge_percentages,week_8_judge_rank,week_9_judge_percentages,week_9_judge_rank,week_10_judge_percentages,week_10_judge_rank,week_11_judge_percentages,week_11_judge_rank
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,0.08370044052863436,5.0,0.09502262443438914,5.0,0.10407239819004525,5.0,0.09497206703910614,7.0,0.13186813186813187,3.0,0.1062800695461289,7.0,0.16786570743405277,3.0,0.1811320754716981,4.0,,,,,,
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,0.06607929515418502,10.0,0.08144796380090498,9.0,0.08144796380090498,10.0,,,,,,,,,,,,,,,,
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,0.07048458149779736,9.0,0.05429864253393665,11.0,,,,,,,,,,,,,,,,,,
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,0.1013215859030837,2.0,0.09502262443438914,5.0,0.1085972850678733,2.0,0.1340782122905028,2.0,0.14835164835164835,1.0,0.1739131484985698,1.0,0.1750599520383693,1.0,0.21509433962264152,1.0,0.25,3.0,,,,
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,0.06607929515418502,10.0,0.08144796380090498,9.0,0.09049773755656108,7.0,0.0782122905027933,9.0,,,,,,,,,,,,,,
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,0.08370044052863436,5.0,0.10407239819004525,2.0,0.11764705882352941,1.0,0.12849162011173185,3.0,0.12637362637362637,5.0,0.15458892856159417,2.0,,,,,,,,,,
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,0.07929515418502203,7.0,0.09954751131221719,3.0,0.08597285067873303,9.0,0.0893854748603352,8.0,0.0989010989010989,8.0,0.13526519171803963,6.0,0.15587529976019185,6.0,0.17735849056603772,5.0,0.2324561403508772,4.0,0.3092368897274452,3.0,,
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,0.11594202898550725,1.0,0.09722222222222222,4.0,0.09813084112149532,5.0,0.12135922330097088,2.0,0.1134020618556701,6.0,0.13333333333333333,6.0,0.17506631299734748,1.0,0.17692307692307693,5.0,0.20425531914893616,4.0,,,,
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,0.10144927536231885,3.0,0.08333333333333333,7.0,0.10747663551401869,3.0,0.1262135922330097,1.0,0.13402061855670103,2.0,0.15555555555555556,1.0,0.16976127320954906,3.0,0.21153846153846154,1.0,0.31063829787234043,1.0,0.33969480071129965,1.0,,
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,0.1111111111111111,2.0,0.09259259259259259,5.0,0.09813084112149532,5.0,0.10679611650485436,7.0,0.11855670103092783,5.0,0.14444444444444443,4.0,0.15915119363395225,5.0,0.20384615384615384,3.0,0.2297872340425532,3.0,0.32061039857740076,3.0,,
Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1,0.10144927536231885,3.0,0.10648148148148148,1.0,0.11682242990654206,1.0,0.12135922330097088,2.0,0.13917525773195877,1.0,0.15,3.0,0.17506631299734748,1.0,0.2076923076923077,2.0,0.2553191489361702,2.0,0.33969480071129965,1.0,,
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,0.0821256038647343,9.0,0.0787037037037037,9.0,0.09345794392523364,8.0,0.10194174757281553,8.0,,,,,,,,,,,,,,
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,0.09178743961352658,5.0,0.10648148148148148,1.0,0.09813084112149532,5.0,0.11165048543689321,4.0,0.13402061855670103,2.0,0.12222222222222222,7.0,,,,,,,,,,
Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,8,0.08695652173913043,7.0,0.08333333333333333,7.0,0.11682242990654206,1.0,0.11165048543689321,4.0,0.1134020618556701,6.0,,,,,,,,,,,,
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,0.06280193236714976,11.0,0.0787037037037037,9.0,,,,,,,,,,,,,,,,,,
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,0.09178743961352658,5.0,0.10648148148148148,1.0,0.09345794392523364,8.0,0.11165048543689321,4.0,0.13402061855670103,2.0,0.15555555555555556,1.0,0.15915119363395225,5.0,0.2,4.0,,,,,,
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,0.06763285024154589,10.0,0.0787037037037037,9.0,0.07009345794392523,10.0,,,,,,,,,,,,,,,,
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,0.08695652173913043,7.0,0.08796296296296297,6.0,0.10747663551401869,3.0,0.08737864077669903,9.0,0.1134020618556701,6.0,0.1388888888888889,5.0,0.16180371352785147,4.0,,,,,,,,
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,11,0.06912442396313365,11.0,0.09417040358744394,4.0,,,,,,,,,,,,,,,,,,
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,0.08294930875576037,6.0,0.08071748878923767,9.0,0.10126582278481013,4.0,0.11004784688995216,5.0,0.13297872340425532,2.0,0.13855421686746988,4.0,0.16040955631399317,5.0,,,,,,,,
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,0.09216589861751152,4.0,0.1031390134529148,1.0,0.11392405063291139,1.0,0.13875598086124402,1.0,0.1276595744680851,4.0,0.1746987951807229,1.0,0.18088737201365188,1.0,0.20077220077220076,2.0,0.2827007708893286,1.0,0.33136133188796163,3.0,,
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,0.10138248847926268,1.0,0.09865470852017937,2.0,0.10970464135021098,2.0,0.12440191387559808,2.0,0.14893617021276595,1.0,0.1746987951807229,1.0,0.16382252559726962,4.0,0.23166023166023167,1.0,0.2362879168266533,3.0,0.33333293885414844,2.0,,
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,0.06451612903225806,12.0,,,,,,,,,,,,,,,,,,,,
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,0.0967741935483871,3.0,0.08520179372197309,8.0,0.10126582278481013,4.0,0.11483253588516747,3.0,0.1276595744680851,4.0,0.12048192771084337,6.0,0.17064846416382254,3.0,0.20077220077220076,2.0,0.20675023945248716,4.0,,,,
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,0.10138248847926268,1.0,0.09417040358744394,4.0,0.10970464135021098,2.0,0.10047846889952153,6.0,,,,,,,,,,,,,,
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,0.08755760368663594,5.0,0.09865470852017937,2.0,0.10126582278481013,4.0,,,,,,,,,,,,,,,,
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,0.07834101382488479,7.0,0.08071748878923767,9.0,0.0970464135021097,8.0,0.09569377990430622,9.0,0.10106382978723404,8.0,,,,,,,,,,,,
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,0.07834101382488479,7.0,0.07623318385650224,11.0,0.0759493670886076,10.0,0.10047846889952153,6.0,0.11170212765957446,7.0,0.1144578313253012,7.0,,,,,,,,,,
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,0.07373271889400922,9.0,0.09417040358744394,4.0,0.08860759493670886,9.0,0.10047846889952153,6.0,0.11702127659574468,6.0,0.14457831325301204,3.0,0.15017064846416384,6.0,0.16988416988416988,5.0,,,,,,
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,0.07373271889400922,9.0,0.09417040358744394,4.0,0.10126582278481013,4.0,0.11483253588516747,3.0,0.13297872340425532,2.0,0.13253012048192772,5.0,0.17406143344709898,2.0,0.1969111969111969,4.0,0.27426107283153095,2.0,0.33530572925789,1.0,,
William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3,0.08888888888888889,3.0,0.09293680297397769,3.0,0.1,2.0,0.0944206008583691,6.0,0.12946428571428573,1.0,0.13953526230497523,3.0,0.1444141689373297,3.0,0.1743119266055046,1.0,0.25217391304347825,2.0,0.33208930162582334,2.0,,
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,0.08518518518518518,4.0,0.07806691449814127,8.0,0.08571428571428572,7.0,,,,,,,,,,,,,,,,
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,0.08518518518518518,4.0,0.08550185873605948,6.0,0.08571428571428572,7.0,0.09012875536480687,9.0,,,,,,,,,,,,,,
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,0.0962962962962963,1.0,0.08178438661710037,7.0,0.08928571428571429,5.0,0.0944206008583691,6.0,0.10714285714285714,6.0,0.14341046661754508,2.0,0.13896457765667575,6.0,,,,,,,,
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,0.08518518518518518,4.0,0.09665427509293681,1.0,0.08928571428571429,5.0,0.11158798283261803,2.0,0.11607142857142858,5.0,0.10852665104130127,7.0,0.14168937329700274,5.0,0.1712538226299694,2.0,,,,,,
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,0.07407407407407407,10.0,0.07434944237918216,10.0,0.08571428571428572,7.0,0.0944206008583691,6.0,0.09375,8.0,0.11627938525414604,5.0,0.12806539509536785,7.0,0.1559633027522936,6.0,,,,,,
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,12,0.07407407407407407,10.0,0.06319702602230483,12.0,,,,,,,,,,,,,,,,,,
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,0.07777777777777778,8.0,0.08921933085501858,5.0,0.09285714285714286,4.0,0.11587982832618025,1.0,0.12053571428571429,3.0,0.13178291569008133,4.0,0.1444141689373297,3.0,0.16819571865443425,3.0,0.24782608695652175,3.0,0.33208930162582334,2.0,,
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,0.07407407407407407,10.0,0.07806691449814127,8.0,0.08571428571428572,7.0,0.09871244635193133,5.0,0.08482142857142858,9.0,,,,,,,,,,,,
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,0.08518518518518518,4.0,0.07063197026022305,11.0,0.08571428571428572,7.0,0.08583690987124463,10.0,0.09821428571428571,7.0,0.09302350820331683,8.0,,,,,,,,,,
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2,0.0962962962962963,1.0,0.09665427509293681,1.0,0.10357142857142858,1.0,0.10300429184549356,4.0,0.12946428571428573,1.0,0.151162813232439,1.0,0.14713896457765668,2.0,0.16819571865443425,3.0,0.24347826086956523,4.0,0.3358213967483533,1.0,,
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,0.07777777777777778,8.0,0.09293680297397769,3.0,0.09642857142857143,3.0,0.11158798283261803,2.0,0.12053571428571429,3.0,0.11627899765619518,6.0,0.1553133514986376,1.0,0.1620795107033639,5.0,0.2565217391304348,1.0,,,,
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,6,0.0867992766726944,2.0,0.09239130434782608,2.0,0.09172661870503597,4.0,0.12286158631415241,1.0,0.12710911136107986,2.0,0.12168141592920353,5.0,0.1384293260352406,5.0,0.1469193195013584,2.0,,,,,,
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,0.081374321880651,3.0,0.09420289855072464,1.0,0.09172661870503597,4.0,0.1104199066874028,6.0,0.13160854893138357,1.0,0.13274336283185842,1.0,,,,,,,,,,
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,0.06871609403254973,12.0,0.07608695652173914,11.0,0.08633093525179857,9.0,0.09331259720062209,9.0,0.11811023622047244,7.0,0.12168141592920353,5.0,0.1157024007920684,7.0,0.127962327890669,7.0,,,,,,
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,0.07775768535262206,6.0,0.07971014492753623,10.0,0.09712230215827339,1.0,0.1166407465007776,3.0,0.11586051743532058,8.0,0.11946902654867257,7.0,0.14876076087823395,3.0,0.1421801970519487,5.0,0.19227700484469115,4.0,0.3331212530739241,2.0,,
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,0.07956600361663653,4.0,0.08876811594202899,4.0,0.09172661870503597,4.0,0.10730948678071539,7.0,0.12710911136107986,2.0,0.13274336283185842,1.0,0.13636403080504778,6.0,0.1469193195013584,2.0,0.20291532535175608,3.0,,,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,0.08860759493670886,1.0,0.08152173913043478,7.0,0.08992805755395683,8.0,0.1119751166407465,5.0,0.12598425196850394,6.0,0.1172566371681416,8.0,0.14256198261730507,4.0,0.1458037890899821,4.0,0.19148976912716836,5.0,,,,
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2,0.07956600361663653,4.0,0.09057971014492754,3.0,0.09532374100719425,3.0,0.12286158631415241,1.0,0.12710911136107986,2.0,0.12389380530973451,4.0,0.15702442114501983,2.0,0.13967113179919047,6.0,0.2092203033056099,1.0,0.33121481937513375,3.0,,
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,13,0.06148282097649186,13.0,,,,,,,,,,,,,,,,,,,,
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,10,0.07775768535262206,6.0,0.08333333333333333,6.0,0.09172661870503597,4.0,,,,,,,,,,,,,,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,12,0.07414104882459313,10.0,0.08152173913043478,7.0,,,,,,,,,,,,,,,,,,
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,11,0.07775768535262206,6.0,0.08152173913043478,7.0,0.08633093525179857,9.0,,,,,,,,,,,,,,,,
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,9,0.0705244122965642,11.0,0.06521739130434782,12.0,0.08093525179856115,11.0,0.09953343701399689,8.0,,,,,,,,,,,,,,
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1,0.0759493670886076,9.0,0.08514492753623189,5.0,0.09712230215827339,1.0,0.1150855365474339,4.0,0.12710911136107986,2.0,0.13053097345132744,3.0,0.16115707772708432,1.0,0.15054391516549293,1.0,0.20409759737077457,2.0,0.33566392755094215,1.0,,
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,5,0.08733624454148471,5.0,0.08196721311475409,5.0,0.08936185423294338,6.0,0.10267857142857142,5.0,0.10047846889952153,6.0,0.1220159151193634,4.0,0.1358695652173913,5.0,0.15434083601286175,5.0,0.18085106382978725,5.0,,,,
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2,0.10480349344978165,1.0,0.10655737704918032,1.0,0.11063763512788959,1.0,0.11607142857142858,2.0,0.13875598086124402,1.0,0.13527851458885942,3.0,0.16304347826086957,2.0,0.1864951768488746,1.0,0.1950354609929078,4.0,0.256410475564509,1.0,,
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,12,0.09170305676855896,2.0,0.06147540983606557,12.0,,,,,,,,,,,,,,,,,,
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,8,0.07860262008733625,8.0,0.07377049180327869,8.0,0.09787250701703322,4.0,0.08035714285714286,9.0,0.10047846889952153,6.0,0.10610079575596817,8.0,,,,,,,,,,
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,4,0.09170305676855896,2.0,0.09836065573770492,3.0,0.09787250701703322,4.0,0.12053571428571429,1.0,0.11961722488038277,4.0,0.13793103448275862,2.0,0.17391304347826086,1.0,0.18006430868167203,2.0,0.20921985815602837,1.0,0.24786345971235874,3.0,,
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3,0.08733624454148471,5.0,0.0942622950819672,4.0,0.11063763512788959,1.0,0.10714285714285714,4.0,0.12440191387559808,3.0,0.11936339522546419,6.0,0.14673913043478262,4.0,0.16720257234726688,4.0,0.20921985815602837,1.0,0.2393155891586232,4.0,,
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,9,0.05240174672489083,12.0,0.06557377049180328,11.0,0.06808522227271877,10.0,0.09375,6.0,0.0861244019138756,8.0,,,,,,,,,,,,
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,7,0.07423580786026202,11.0,0.08196721311475409,5.0,0.07659587505680861,9.0,0.09375,6.0,0.0861244019138756,8.0,0.11405835543766578,7.0,0.09239130434782608,7.0,,,,,,,,
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,11,0.07860262008733625,8.0,0.07377049180327869,8.0,0.06382989588067384,11.0,,,,,,,,,,,,,,,,
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1,0.09170305676855896,2.0,0.10655737704918032,1.0,0.10638315980112308,3.0,0.11607142857142858,2.0,0.1291866028708134,2.0,0.14323607427055704,1.0,0.15760869565217392,3.0,0.17684887459807075,3.0,0.20567375886524822,3.0,0.256410475564509,1.0,,
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,10,0.07860262008733625,8.0,0.07377049180327869,8.0,0.08936185423294338,6.0,0.08035714285714286,9.0,,,,,,,,,,,,,,
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,6,0.08296943231441048,7.0,0.08196721311475409,5.0,0.08936185423294338,6.0,0.08928571428571429,8.0,0.11483253588516747,5.0,0.1220159151193634,4.0,0.13043478260869565,6.0,0.13504823151125403,6.0,,,,,,
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,10,0.08203125,8.0,0.07142857142857142,10.0,0.06274509803921569,10.0,0.0759493670886076,10.0,,,,,,,,,,,,,,
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,7,0.0859375,6.0,0.08646616541353383,7.0,0.10588235294117647,1.0,0.08860759493670886,8.0,0.1148936170212766,3.0,0.13419959895965008,3.0,0.12866817155756208,3.0,0.140625,5.0,,,,,,
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,6,0.09375,2.0,0.09398496240601503,2.0,0.09803921568627451,4.0,0.11392405063291139,1.0,0.11063829787234042,6.0,0.13852775247706486,2.0,0.12189616252821671,5.0,0.13020833333333334,6.0,0.17777777777777778,2.0,,,,
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,5,0.08203125,8.0,0.09022556390977443,4.0,0.09411764705882353,6.0,0.10126582278481013,4.0,0.09361702127659574,9.0,0.12121210809388083,5.0,0.11963882618510158,7.0,0.14583333333333334,3.0,0.17142857142857143,3.0,0.18571428571428572,4.0,,
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2,0.09375,2.0,0.09774436090225563,1.0,0.10196078431372549,2.0,0.11392405063291139,1.0,0.11914893617021277,1.0,0.1168830887726018,6.0,0.13318284424379231,1.0,0.15625,1.0,0.18412698412698414,1.0,0.21428571428571427,2.0,0.25909655421775135,2.0
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1,0.10546875,1.0,0.09022556390977443,4.0,0.09411764705882353,6.0,0.11392405063291139,1.0,0.11063829787234042,6.0,0.13852818537899697,1.0,0.13318284424379231,1.0,0.14583333333333334,3.0,0.1619047619047619,5.0,0.2257142857142857,1.0,0.27365383574062396,1.0
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,12,0.06640625,11.0,0.06766917293233082,11.0,,,,,,,,,,,,,,,,,,
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,4,0.0703125,10.0,0.07894736842105263,8.0,0.09411764705882353,6.0,0.08860759493670886,8.0,0.10212765957446808,8.0,0.10389603080876471,8.0,0.11286681715575621,8.0,0.125,7.0,0.13333333333333333,6.0,0.17142857142857143,5.0,0.22270771724567986,4.0
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,9,0.0859375,6.0,0.09398496240601503,2.0,0.10196078431372549,2.0,0.10126582278481013,4.0,0.11914893617021277,1.0,,,,,,,,,,,,
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,8,0.08984375,4.0,0.07518796992481203,9.0,0.09803921568627451,4.0,0.10126582278481013,4.0,0.1148936170212766,3.0,0.12987057963837104,4.0,0.12189616252821671,5.0,,,,,,,,
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3,0.08984375,4.0,0.09022556390977443,4.0,0.08627450980392157,9.0,0.10126582278481013,4.0,0.1148936170212766,3.0,0.11688265587066968,7.0,0.12866817155756208,3.0,0.15625,1.0,0.17142857142857143,3.0,0.20285714285714285,3.0,0.24454189279594477,3.0
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,11,0.0546875,12.0,0.06390977443609022,12.0,0.06274509803921569,10.0,,,,,,,,,,,,,,,,
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,10,0.05725190839694656,12.0,0.06147540983606557,11.0,,,,,,,,,,,,,,,,,,
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,6,0.0916030534351145,3.0,0.09836065573770492,4.0,0.1157556270096463,2.0,0.10774410774410774,6.0,0.12111801242236025,2.0,0.1276595744680851,3.0,0.1422924901185771,4.0,0.168141592920354,3.0,,,,,,
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,4,0.08015267175572519,7.0,0.10245901639344263,1.0,0.1157556270096463,2.0,0.11784511784511785,2.0,0.12422360248447205,1.0,0.12411347517730496,5.0,0.1383399209486166,6.0,0.1592920353982301,4.0,0.19895287958115182,3.0,0.2529075649013137,3.0,,
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3,0.09541984732824428,2.0,0.0860655737704918,7.0,0.10289389067524116,7.0,0.09427609427609428,9.0,0.10869565217391304,7.0,0.11347517730496454,7.0,0.14624505928853754,3.0,0.1592920353982301,4.0,0.18848167539267016,5.0,0.22674296916969572,4.0,,
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,11,0.07633587786259542,10.0,0.0860655737704918,7.0,,,,,,,,,,,,,,,,,,
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,12,0.06870229007633588,11.0,,,,,,,,,,,,,,,,,,,,
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,5,0.10305343511450382,1.0,0.10245901639344263,1.0,0.1157556270096463,2.0,0.1111111111111111,4.0,0.11490683229813664,3.0,0.1276595744680851,3.0,0.14031620553359683,5.0,0.17699115044247787,1.0,0.19895287958115182,3.0,,,,
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2,0.0916030534351145,3.0,0.09836065573770492,4.0,0.1157556270096463,2.0,0.11447811447811448,3.0,0.11490683229813664,3.0,0.1347517730496454,2.0,0.1482213438735178,2.0,0.17699115044247787,1.0,0.20418848167539266,2.0,0.2587209505138384,2.0,,
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1,0.0916030534351145,3.0,0.10245901639344263,1.0,0.12540192926045016,1.0,0.13131313131313133,1.0,0.11180124223602485,5.0,0.14184397163120568,1.0,0.1541501976284585,1.0,0.1592920353982301,4.0,0.2094240837696335,1.0,0.2616285154151521,1.0,,
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,8,0.08015267175572519,7.0,0.0860655737704918,7.0,0.09646302250803858,9.0,0.1111111111111111,4.0,0.08695652173913043,9.0,0.11347517730496454,7.0,,,,,,,,,,
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,9,0.08396946564885496,6.0,0.09016393442622951,6.0,0.11254019292604502,6.0,0.10437710437710437,8.0,0.10559006211180125,8.0,,,,,,,,,,,,
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,7,0.08015267175572519,7.0,0.0860655737704918,7.0,0.09967845659163987,8.0,0.10774410774410774,6.0,0.11180124223602485,5.0,0.11702127659574468,6.0,0.13043478260869565,7.0,,,,,,,,
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,8,0.06720430107526881,10.0,0.0856353591160221,5.0,0.0821529745042493,8.0,0.090625,6.0,0.10606060606060606,6.0,0.09556313993174062,8.0,0.11411992263056092,7.0,,,,,,,,
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,9,0.08064516129032258,6.0,0.08287292817679558,7.0,0.0906515580736544,4.0,0.075,10.0,0.09090909090909091,7.0,0.10921501706484642,5.0,,,,,,,,,,
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,6,0.08602150537634409,3.0,0.09668508287292818,1.0,0.08781869688385269,7.0,0.121875,2.0,0.12878787878787878,2.0,0.10921501706484642,5.0,0.13539651837524178,2.0,0.12903225806451613,5.0,0.16355140186915887,5.0,,,,
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3,0.07795698924731183,7.0,0.09392265193370165,2.0,0.11331444759206799,1.0,0.1125,4.0,0.125,4.0,0.11262798634812286,4.0,0.12959381044487428,4.0,0.17338709677419356,1.0,0.17990654205607476,1.0,0.2136986301369863,1.0,0.24946620355267282,3.0
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1,0.0967741935483871,1.0,0.08839779005524862,4.0,0.0906515580736544,4.0,0.125,1.0,0.12878787878787878,2.0,0.13310580204778158,1.0,0.13152804642166344,3.0,0.16532258064516128,2.0,0.17990654205607476,1.0,0.2054794520547945,3.0,0.25586408499804897,1.0
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,13,0.05913978494623656,12.0,,,,,,,,,,,,,,,,,,,,
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,11,0.08333333333333333,5.0,0.07734806629834254,8.0,0.07365439093484419,11.0,,,,,,,,,,,,,,,,
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,5,0.07258064516129033,9.0,0.07734806629834254,8.0,0.09631728045325778,3.0,0.0875,8.0,0.08712121212121213,8.0,0.09556313993174062,8.0,0.11605415860735009,6.0,0.11693548387096774,6.0,0.13317757009345793,6.0,0.16986301369863013,5.0,,
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,10,0.053763440860215055,13.0,0.07734806629834254,8.0,0.0821529745042493,8.0,0.090625,6.0,,,,,,,,,,,,,,
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,7,0.06720430107526881,10.0,0.06629834254143646,12.0,0.07932011331444759,10.0,0.078125,9.0,0.07575757575757576,9.0,0.10238907849829351,7.0,0.10831721470019343,8.0,0.10080645161290322,7.0,,,,,,
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,12,0.07795698924731183,7.0,0.07734806629834254,8.0,,,,,,,,,,,,,,,,,,
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,4,0.08602150537634409,3.0,0.09116022099447514,3.0,0.11331444759206799,1.0,0.103125,5.0,0.12121212121212122,5.0,0.12286689419795221,2.0,0.1450676982591876,1.0,0.16129032258064516,3.0,0.17289719626168223,3.0,0.20821917808219179,2.0,0.24307088074814653,4.0
